Name	x	y	z	ex	ey	ez
MEG1613	-0.1014	-0.0214	0.0526	-0.9412	-0.3232	0.0985
MEG1612	-0.1014	-0.0214	0.0526	-0.9412	-0.3232	0.0985
MEG1611	-0.1014	-0.0214	0.0526	-0.9412	-0.3232	0.0985
MEG1622	-0.095	-0.0153	0.0858	-0.8943	-0.2812	0.348
MEG1623	-0.095	-0.0153	0.0858	-0.8943	-0.2812	0.348
MEG1621	-0.095	-0.0153	0.0858	-0.8943	-0.2812	0.348
MEG1632	-0.0778	-0.0472	0.0889	-0.7562	-0.5354	0.3761
MEG1633	-0.0778	-0.0472	0.0889	-0.7562	-0.5354	0.3761
MEG1631	-0.0778	-0.0472	0.0889	-0.7562	-0.5354	0.3761
MEG1643	-0.0862	-0.0514	0.0552	-0.8188	-0.5596	0.1284
MEG1642	-0.0862	-0.0514	0.0552	-0.8188	-0.5596	0.1284
MEG1641	-0.0862	-0.0514	0.0552	-0.8188	-0.5596	0.1284
MEG1713	-0.0752	-0.0731	-0.0107	-0.739	-0.6702	0.0688
MEG1712	-0.0752	-0.0731	-0.0107	-0.739	-0.6702	0.0688
MEG1711	-0.0752	-0.0731	-0.0107	-0.739	-0.6702	0.0688
MEG1722	-0.0856	-0.0564	0.0218	-0.8141	-0.5802	0.0244
MEG1723	-0.0856	-0.0564	0.0218	-0.8141	-0.5802	0.0244
MEG1721	-0.0856	-0.0564	0.0218	-0.8141	-0.5802	0.0244
MEG1732	-0.0626	-0.0808	0.0244	-0.5769	-0.8163	0.0287
MEG1733	-0.0626	-0.0808	0.0244	-0.5769	-0.8163	0.0287
MEG1731	-0.0626	-0.0808	0.0244	-0.5769	-0.8163	0.0287
MEG1743	-0.0482	-0.0927	-0.009	-0.4554	-0.8847	0.0996
MEG1742	-0.0482	-0.0927	-0.009	-0.4554	-0.8847	0.0996
MEG1741	-0.0482	-0.0927	-0.009	-0.4554	-0.8847	0.0996
MEG1813	-0.0784	-0.0105	0.1161	-0.7453	-0.2349	0.624
MEG1812	-0.0784	-0.0105	0.1161	-0.7453	-0.2349	0.624
MEG1811	-0.0784	-0.0105	0.1161	-0.7453	-0.2349	0.624
MEG1822	-0.0516	-0.0074	0.1391	-0.5032	-0.1826	0.8447
MEG1823	-0.0516	-0.0074	0.1391	-0.5032	-0.1826	0.8447
MEG1821	-0.0516	-0.0074	0.1391	-0.5032	-0.1826	0.8447
MEG1832	-0.0177	-0.0338	0.1411	-0.1334	-0.462	0.8768
MEG1833	-0.0177	-0.0338	0.1411	-0.1334	-0.462	0.8768
MEG1831	-0.0177	-0.0338	0.1411	-0.1334	-0.462	0.8768
MEG1843	-0.0548	-0.0443	0.1202	-0.4973	-0.5306	0.6864
MEG1842	-0.0548	-0.0443	0.1202	-0.4973	-0.5306	0.6864
MEG1841	-0.0548	-0.0443	0.1202	-0.4973	-0.5306	0.6864
MEG1912	-0.0508	-0.0704	0.0914	-0.4422	-0.7976	0.4102
MEG1913	-0.0508	-0.0704	0.0914	-0.4422	-0.7976	0.4102
MEG1911	-0.0508	-0.0704	0.0914	-0.4422	-0.7976	0.4102
MEG1923	-0.0329	-0.0905	0.0595	-0.2725	-0.9339	0.2315
